,Comment,Tag(s),,
Vendor Admin,"On seasonal work orders.  Once the status moves to ""Closed"", There's no way to tell the Tech if a work order has made it's way through the billing process.  For example:  A PMEX or OOS work order will go to PVINV status.  We can see the the various stages all the way to ""Completed""",Process,IVR,
Vendor Admin,pay faster - its about cash flow and I am still waiting on payment for Jobs we did in July.   The best vendors have the ability to pick and choose who they work for not wait or beg for payment.  I work with multiple third party payers and CBRE is the slowest to pay.   Also communicate when bills will be paid.,Process,"Invoices, WO",
Vendor Admin,Pay our vendors quicker. Answer calls and return calls quicker.Find vendors that are not so expensive to use.,Process,IVR,
Vendor Admin,"Problem is we do these tickets, but it takes too Long to Get Results from GFS.  The GFS Tech can delete tickets and change ticket to whatever they like.",Process,,
Vendor Admin,Quicker response and more follow up. Vendors that can get parts and complete repairs in a shorter time with more reasonable rates.,Process,Invoices,
Site Manager,quicker responses  sometimes response can take a few days sometimes they are responded to right away.  more consistency on response time,Process,Notifications,
Site Manager,"Quotes should be uploaded so we at the facility see what the vendor is quoting for work.  When written communications are sent, the person entering the order and/or the person listed as secondary contact is included.  Vendor be held accountable for uploading reports quickly - their invoices are held until they have completed this step - we are have requirements to have documentation on file for annual services.  We have to keep checking back on the work order for months sometimes waiting for the reports to show up.",Process,"Notifications, WO",
Vendor Admin,respond quicker,Process,"IVR, Quotes, Invoices",
Site Manager,Respond quicker,Process,,
Vendor Admin,Response time on tickets is very long. It takes much longer for service since we have switched to CBRE.,Process,"Quotes, Invoices",
Vendor Admin,Simplify  Easier communication Better support,Process,,
Vendor Admin,Simply process. Allow vendors to reach out to you. ,Process,WO,
Site Manager,"Sometimes there will be miscommunications between the center, CBRE and the techs/company that show up on site",Process,,
Facilities Manager,status updates,Process,WO,
Site Manager,the program is easy to work-  Consistent across customers.  The calls from the associates are non helpful.  Those calling tend to be rude & very unhelpful.  Usually is seems to be a blind call getting the incorrect person & the caller is too hurried to give the information actually needed to get them in touch with the correct person,Process,WO,
Site Manager,Too much in and out of orders to get something invoiced and processed. ,Process,WO,
Operations Manager,Using better vendors that can make the repairs better. Some of the vendors that show up are very sketchy.,Process,WO,
Vendor Admin,VENDORS OR CBRE SHOULD ALWAYS BE SURE COMMENTS ARE UPDATED IN PORTAL,Process,IVR,
Vendor Admin,We use it because we were told we had to- its an extra step for me that wasn't needed,Process,"Invoices, WO",
Site Manager,"When I put in an EMERGENCY repair order and, six days later, I still haven't received a service call or even a phone call, I'd say major improvement is needed.",Process,WO,
Site Manager,"when the client cancels a service request, update and cancel so we don't still go to the location, and then the customer incurred travel cost. ",Process,,
Site Manager,"When trying to contact someone via email through the portal it is takes forever to get a response, if at all. There needs to be better contact information for getting a hold of a responsible party for questions. ",Process,WO,
Tecnician,when we input notes no one from CBRE response ,Process,,
Site Manager,Work orders and responses to work orders have taken longer than normal.,Process,Attachments,
Site Manager,Work with the same urgency in trying to get us to take a call as doing the invoicing / approval. When trying to get help we have gone weeks without answers. ,Process,,
Vendor Admin,Do not allow Out of Scope services to be performed on a Regular Land Service work order.  A PM.,"Process, Bug",Attachments,
Vendor Admin,Sometimes long delays and unable to see work orders,"Process, Bug",Attachments,
Site Manager,Answer the messages we put in the portal :)   Tell us quicker if our tech is NOT going to get an increase so we can send him to his next job and not waste his time waiting.   Give us DIRECT contact numbers to call!!!! It is frustrating to call and not get a designated person. ,"Process, Data Issue",WO,
Site Manager,contact information for raising an NTE or speaking with a rep. ,"Process, Data Issue",WO,
Account Coordinator,Needs to be a better way to directly contact someone regarding outstanding work tickets ,"Process, Data Issue",,
Account Coordinator,To be able to have to correct information and the necessary resources to contact the person or person in charge of the account. I don't understand that when you guys need some information you will call and CC the whole company. ,"Process, Data Issue",,
Vendor Admin,"All categories would have scored a 10/10 if the stores didn't have to separate ticket requests from IT/maintenance.   For example, LP card reader problem is a selection on the menu but in reality you have to call IT to get a ticket.  Another example is: if you are having trouble with getting music into your store you have to call IT vs submitting a ticket to FM.   To streamline the process of store maintenance  and to spend less time on deciding where and/or who a ticket needs to be submitted to, please combine all ticket request into one facility.  ","Process, Feature Request",IVR,
Vendor Admin,"Follow up on services more easy, email when status change on a service.","Process, Feature Request",,
Facilties Manager,"Please email the stores with updates on work orders so we are aware of vendors coming in. Many times, we are unware a vendor is arriving and surprises the LOD. Recently, we had a repair for an emergency exit and first vendor created a quote. Corp decided to get another quote for a second vendor, however no communication to the store caused confusion with LOD and sent second vendor away.","Process, Feature Request",WO,
Operations Manager,Please incorporate the vendor contact information that will perform the work order. That will make it easier to follow up with the vendor.,"Process, Feature Request",,
Account Coordinator,It would be better to know when there will be scheduled appointments of vendors to take care of issues.  Most of the time it is a surprise and they don't normally have the information we need to determine why they are there in the first place without ome detective work.  ,"Process, Feature Request, Data Issue",,
Site Manager,Be more simplistic in some questions as well as be faster in completing work orders. ,"Process, Usability",,
Vendor Admin,"Follow up calls, easier way to submit emergency work orders. ","Process, Usability",Attachments,
Vendor Admin,New store locations are not in the system in a timely manner.  Service providers are not listed for  Painting tasks.  There is only one option for most stores.  Photos need to be able to be sent to Service Channel and back from FMP.  I spend too much of my day uploading and downloading pictures that don't automatically share between both programs.,"Process, Usability",WO,
Operations Manager,My level of security does not allow for the correct information to be updated for assets or work tasks,role permission,WO,
Facilities Manager,Password reset ability from a store level where password can be determined by store,Role Permission,,
Site Manager,I cant see what inside the request writing when I controlling my work section.,"role permission, data issue",,
Facilities Manager,For On call weekends make it so the person on call only receives P1s and P2s. ,"role permission, Feature request",,
Vendor Admin,"The system level tree could be improved. If a ticket is opened on behalf of the client, they have no visibility on it. It seems that the review function does not function properly. The customer receives the email, but when they click on the link it either says it has already been used or doesn't open the review platform.  It would be a more useful tool if the navigation/usage etc. was more practical.","role permission, Feature request",IVR,
Vendor Admin,More definitive user roles and less latency issues.,"Role Permission, Performance",Invoices,
Vendor Admin,My clients have been sending their requests to the iopropertyservices@cbre.com email address in order to get a work order number.  I understand it takes 24 hours but lately it has been taking a couple days for a simple access card request.  Can you make the emails that clients/tenants use to sent requests consistent?  A lot of clients/tenants still use the phone number and email for work order requests instead of the PSL website and are not willing to use the website because they've been using phone number and email method for 15+ years,Feature request,Commenting,
Vendor Admin,"The system could have local support, able to serve each market and training materials translated into several languages â€‹â€‹for use by the managers of each contract, in addition, new users when registering do not automatically receive a password as already done in the past. thanks.",training,,
Site Manager,For 6 1/2 years I directly worked in Si7 and after getting use to it was pretty much like second nature to me. I no longer have that job so I am not in it as much anymore. I can tell you that it can be very complicated for users and I feel like it has alot  of quirks,training,WO,
Customer Service Rep,Further training on how to assist vendors with their end of the portal. Further training on how to run reports and best utilize them. ,training,,
Site Manager,I need to uses FMP every day. there are so many functions I don't understand.,Training,,
Vendor Admin,I think I need some training sessions. It's good to have a plan to introduce SI and improve its use.,training,IVR,
Site Manager,I think if you had some training videos that will show us how to navigate through the site that would be perfect.  ,training,,
Vendor Admin,"I'm honestly not sure.  Maybe tear it down and start over?  It's so complicated you have to train people how to use it.  It's finicky and buggy.  Your own customer service reps struggle with it.  If you do ONLY ONE THING, please fix the attachment issue.  Please please please. ",Training,Invoices,
Vendor Admin,"it would be nice to receive ""training"" on the SI7 to better understand what all it has to offer. Everything I know on the SI7 app is what I learned by trial and error.  very little training was offered to me when I came back to CBRE almost 4 years ago.  We have had one training day on Teams with Ms. Frenetta Tate.  I, along with several others of my team, have had little class training time on this app.  I probably could be doing something in an easier fashion if I only knew the system better.  I typically use my phone app to complete most of my work on SI7.  I'm not comfortable or understand SI7 enough to",training,,
Vendor Admin,"Maybe is lack of training, but there are certain tools that I'm still have difficult to use or understand.",training,IVR,
Site Manager,"More training. i have been LOST for months with this system, I am finally getting somewhere after I had training.",Training,WO,
Site Manager,more useful and relevant help links ,Training,Integration,
Site Manager,More video training ,training,WO,
Site Manager,Need better training ,Training,,
District Manager,Needs to be a bit more training. It's not very efficient to search for work orders when you have to restart search criteria every time you leave current list. It is also hard to give accurate start and completion times if the work order already comes in past due. Need to be able to edit completion times so vendors can receive more accurate score grades. ,Training,,
Site Manager,"Provide better training for CBRE/FM-Pilot users so that when an invoice or documentation is submitted, they understand what they are looking at so that less invoices are rejected for no reason thereby creating double work for vendor users.",Training,,
Vendor Admin,Provide user friendly instruction/guide for information needed/how to fill out a req. ,training,"Invoices, Quotes",
Vendor Admin,"SEVICE INSIGHT MAY BE ALOT BETTER THAN MY EXPERIENCES WITH IT, I BELEIVE  MY TRAINING WAS REALLY LACK LUSTER. SO MOST OF THIS SITE IS FORIEGN TO ME.  AND TRAINING, TRAINING, TRAINING. MAYBE SOME CLASSES ON TALENT COACH INSTEAD OF REPEATING THE SAME CLASSES EVERY YEAR",training,"Invoices, Reporting",
Vendor Admin,There was inadequate training.  There is little support available for questions.  The vendors chosen for HVAC issues have been awful.,Training,"WO, Notifications",
Vendor Admin,training on how to use and what is required by PM/PS using the porgram,Training,Attachments,
Site Manager,tutorials on functions!!!,Training,"WO, Commenting",
Vendor Admin,"WE need to get more training to our customer on how to submit work order through Service Insight. I am showing a lot of customer how to use it. Plus the one that are submitting work orders, they are over the spectra and I spend time to correct them, so we a get a true count on issues we are working on.",training,Quotes,
,As a new manager here at Cisco I am not up to date yet on all the processes used so I will need more time to make a sound judgement,"training, business process",WO,
Site Manager,Never had proper training on how to use it I've had to fumble through it on my own. Parts but I do not like once I look up a work order when I try to go back I got to re-submit everything for a particular building when I'm trying to do a site history,"training, data issue, Usability","WO, Notifications",
Site Manager,SI7 is difficult to navigate thru it does not use standard wildcard nor was it developed with the end user in mind the training provided is subpar at best and LOGCHECK is better!,"training, performance, Usability",WO,
Vendor Admin,I do not feel the CMMS Manager who reports to me receives an appropriate level of support from our ServiceInsight platform.  My primary concern is the manner in which ServiceInsight tickets are managed.  I would be happy to discuss this further with anyone who would be willing to hear that feedback.,"training, support",,
Site Manager,We have difficulties with support in Brazil. It would be interesting to generate online training for local teams and have a contact in Brazil for system support.,"training, support",,
Vendor Admin,"The Request Dashboard is a good service in submitting work to be completed, however if the Matrix is not setup properly this can lead to work orders going to companies that are not in my state. I would like to see the name of the company along side the Primary/Secondary matrix in the dispatching tool. Because this does not exist, I have to use the Main Portal to reassign the job to the correct vendor.","training, support, Usability",Invoices,
Site Manager,"I'm a new employee.  Like anything else, the more I use it, the easier it gets.  It was confusing at first, and I sometimes still get confused, but I'm beginning to understand it better and hope to be able to take better advantage of what it offers.","training, Usability","WO, Commenting",
Site Manager,"I'm still learning how to use the software, so I don't have much improvement comments other than the look and feel seems very outdated.","training, Usability",Attachments,
Vendor Admin,More user friendly. Easier to navigate. Some dummy proof directions.,"Training, Usability",,
Vendor Admin, make it easier to find all jobs at the same location to verify history. ,Usability,,
Facilities Manager, sometimes hard to find the correct category to select for certain workorders. ,Usability,WO,
Vendor Admin,"1 - easier search capabilities (more user-friendly), 2 -  eliminate (or at least edit) some of the questions that pop up on the dialog boxes that are poorly written, and really have no impact ",Usability,IVR,
Vendor Admin,2. the user interface is clunky and out dated ,Usability,,
Site Manager,4. ability to 'see' the asset list is too complex,Usability,WO,
Site Manager,a more modern interface,Usability,WO,
Site Manager,adjust the overall size and layout to be adjustable as you expand it.,Usability,"Attachments, WO",
Site Manager,Alerts when work orders are ready for payment. I only need to see my work orders not every station. Sometimes entries are problematic. ,Usability,,
Vendor Admin,Allow more time for your prompts during a check in / check out phone call. Our vendors almost never check into FMP2 because of the difficulty they experience trying to check in and check out of your IVR system.  ,Usability,,
Site Manager,"Also, when pulling a site history and opening one work order, I cannot easily go back and select the next item in the list (or preferred next item to view).  Thank you for requesting feedback!",Usability,,
Vendor Admin,An interface update would definitely be an improvement. As well as an easier way of tracking WO history.,Usability,,
Vendor Admin,Asset management isnt very user friendly for finding equipment or past work orders. ,Usability,"WO, Invoices",
Vendor Admin,"Attaching files/pictures is clunky and when I ask the CBRE person if they saw it they often say ""no"" - clunky for them as well?  ",Usability,"WO, Locations",
Site Manager,Better reports Easier navigation ,Usability,,
Vendor Admin,Biggest issue is there is no room for error. Typo an invoice number...to bad you'll need to type in another. ,Usability,,
Vendor Admin,Bulk invoicing is not user friendly at all,Usability,,
Vendor Admin,"Can we have an easy way to see a history of updates made to location data. To my knowledge it is currently impossible to see when the address of a location changed, and this can be important information to have. Related, can all providers in a location's matrix get an automatic email informing them of address changes?",Usability,,
Site Manager,"Can we make the website more use frendily, of creating a WO and attaching the file at the same time.",Usability,,
Site Manager,Clearer method to retrieve WO's accidentally/incorrectly closed.,Usability,,
Site Manager,"Commenting - having to send an email - is too difficult. Especially adding the appropriate people to the email.  Also, it would be great for it to open to WEB orders and have a separate tab for PM.",Usability,,
Site Manager,Commodi impedit off,Usability,,
Site Manager,Condense the job step process. Less steps to see closed work orders on mobile app and desktop app. ,Usability,Integration,
Site Manager,Constantly difficult access-I have to open and close it twice in order to get the correct facility.  The system asks for answers to be repeated and the drop downs are difficult to navigate.  ,Usability,Notifications,
Vendor Admin,Difficult to enter requests.  Too many steps. ,Usability,"Invoices, Notifications",
,"Difficult to enter requests.  Too many steps. Difficult to run all reports.  Parameter input is beyond difficult. If you want to print out a work order you have to turn it into a pdf first.  Too many steps. I have worked in several other Work Order/PM/Asset systems that are ""light years"" better than service insight.  I would not recommend to anyone.",Usability,,
Vendor Admin,Difficult to run all reports. ,Usability,,
Vendor Admin,easier display of screen vital info ,Usability,"Quotes, Invoices",
Site Manager,"easier invoice submission.  your current set up takes on average 3-4 mins from start to finish to submit an invoice with more than 5 lines.  Most of your invoices submitters have multiple accounts this is not good for efficiency. the ""upload"" system you offer is even clunkier and not user friendly let alone that you are only able to Submit at 10 and 4 and IF  there is enough room the system will pick up your batch submission.  ",Usability,WO,
Vendor Admin,"Easier layout, too cluttered with complicated menus.",Usability,,
Finance & Accounting,"Easy to use and enter what is needed, take the time out of having to call in the workorder.",Usability,Quotes,
Vendor Admin,"Either remove or improve the IVR check in process. All my techs have issues with it. Notify the person who created the work order when a comment is made so they can give an answer. I never receive replies to my comments. Come up with more a chat based program for customers and suppliers. Needs to be far more user friendly. Come up the an ""action required"" option on the work order tab. SO when answers are needed someone specific is notified. ",Usability,Quotes,
Customer Service Rep,Eliminate creating estimates and invoices in the portal. It is time consuming. We provide an estimate and invoice with the exact same information. ,Usability,,
Site Manager,Entering quotes & invoices is difficult at times because of how we operate with the client. This system was not built for companies like us. It would be nice also if you could be able to download multiple photos at one time and delete attachments if you upload something incorrect by mistake. ,Usability,WO,
Vendor Admin,"ES FACIL DE USAR, CONSIDERO DE MOMENTO ESTA SENCILLA. ",Usability,Reporting,
Vendor Admin,Filters to select WO's from different aspects don't work sometimes properly.,Usability,,
Site Manager,Fix the automatic log out which happens every 15 minutes,Usability,Commenting,
Site Manager,Fix the IVR so it is easier for techs to log in and out instead of telling you that you have made to many errors.  I have called the IVR to check a tech out lately because he was unable to do so and it kept telling me I made to many errors and hangs up.,Usability,WO,
Vendor Admin,FmPilot is by far the best interface among all we use for different clients,Usability,,
Site Manager,"fmPilot is extremely slow to navigate through, things expire before anything can be accessed or loaded, this is a frequent matter. ",Usability,,
Vendor Admin,FmPilot is pretty much a breeze.,Usability,,
Vendor Admin,FMPILOT works fine for us and easy to use. ,Usability,,
Vendor Admin,"For quotes, the description box once you enter a big paraph, it hard to navigate into the whole paraph.",Usability,IVR,
Vendor Admin,Give super users mpore access,Usability,Invoices,
Vendor Admin,"Going back to individual work orders for the week, it is too complex for our technicians to understand that there is only 1 work order for four separate weeks of services. The App never works and there is no way to search by site name on the app. Work orders disappear from our app and the website end as well. You cannot change the filter settings on the website as well after you have already saved one version.",Usability,"WO, Quotes",
Operations Manager,"Had little difficulty filling in the pop up page to describe the issue.  I missed one line and it erased the others when I finally figured out how to fill it in.  Finally the ""enter"" key popped up.... ",Usability,,
Vendor Admin,Having to reload the page constantly techs in the field have had troubles loading the page and accessing their WOs ,Usability,,
Vendor Admin,Honestly it is very simple and easy to use. ,Usability,"Quotes, Invoices",
Site Manager,"I believe the initial navigation of the application could be a little better. Many times I have top search classifications to find the right one to submit for repair. Example: Cleaning homeless debris on the property should not be classified as ""additional sweeping""",Usability,WO,
Site Manager,"I do struggle with the Problem Code. I work in a very large office, there are so many different things that goes wrong in the office and not many clear and precise code as to which to use. Sometimes it is a detailed issue like the numbering of the workstation/ desk is missing. In Si7 it will go under desk/furniture repairs. It is just a number that needs printing. There should be more sub-categories that is simple and relevant.",Usability,WO,
Vendor Admin,I feel that the main UI could really do with an uplift to look slicker and cleaner like the other CMMS competitors such as Maximo. ,Usability,Invoices,
Facilities Manager,"I FIND THAT THE PROCESS CAN BE DIFFICULT AT TIMES, NOT VERY USER FRIENDLY.",Usability,WO,
Account Coordinator,I had to create a work around to place a work order. The support is non existent.,Usability,Commenting,
Vendor Admin,"I hate that if you don't use the system within minutes, you have to resign in.",Usability,Invoices,
Vendor Admin,"I have to lo in and out several times before it puts my name and email address in boxes. I can enter them manually, but page won't advance to next page. FRUSTRATING!!!!!!!!!",Usability,"Invoices, WO",
Site Manager,"I like the description in newer layout like on the sally client. but the color of work orders is better in the older version Pending quote and PVINV should never have the same color. I would recommend using shades of color for work orders in the same category such as open and entirely different colors for each category like open, financial, completed... please place a copy button in the ribbon for work order number like there is when you go in the work order in the sallybeauty client and if there is a linked IFM work order please have that information viewable int the overview panel/i bubble header. also please include the work order number in the info strip for each comment. basically work order numbers everywhere, make it easy to find and know what work order a user is looking at, working in and commenting on, and if there is a linked provider or client work order associated with the current one. Plese note this does not include parent/daughter references. ",Usability,"WO, Notifications",
Vendor Admin,"I submit invoices to their respective PO's in fmPilot. However, some of the POs hide from me under different status's. Way too in depth - I want to open fmPilot and see all my work orders there - maybe a status to show accepted/paid by Savers Value Village, but otherwise I do not want to have to search for these WO's.",Usability,Attachments,
Site Manager,"I think SI7 is outdated i.e. the layout, the colours, etc. I would be grateful if the 'change category' box can be eliminated from popping up every time a request is opened.",Usability,"Locations, WO, Notifications",
Site Manager,"I think the usability must be easier. SI7 presents some troubles when we change languages, for example.",Usability,Commenting,
Facilities Manager,"I think there are too many steps to rise a ticket. it is small things each of them but taking time in total. for example, need to click ""start"", type and select my name after login to the system and need to type the request and completion both. need to click a dispatch..  Daily basic request, we do not have something particular to type comments, so I hope I can rise a ticket without key board, just using only mouse is better then.  ",Usability,Notifications,
Facilities Manager,I would improve that as well as reporting section for the specific sites. ,Usability,WO,
Site Manager,I'd like it to be easier to go between locations.  I have to click location dashboard to then be able to search another site.   I do that a lot more often than actually searching by a workorder number.  ,Usability,,
Vendor Admin,I'm still good with the interface but could have some improvements with the correct trade match from client-side to IFM to avoid rework.,Usability,Quotes,
Vendor Admin,If there was an option to open work orders in a new browser window when selecting them from a loaded site search screen that would be great.  The way it is now if I am looking for a specific work order if I click on one from the list and it's not the one I'm looking for every time I hit the back button I must rerun the site search.,Usability,Quotes,
Site Manager,IFM is the absolute worst IVR'n system Ive seen thus far. ,Usability,WO,
Site Manager,Improve ease of quote submittal.,Usability,"WO, Notifications",
Site Manager,Improve website interface. Less color/filter options. Simplify it. ,Usability,WO,
Site Manager,"Improved access availability, escalation of approvals, reduce number of clicks required to view backup information, improve wo status review and improve dashboarding.  Improve vendor onboarding and payment reconciliation. ",Usability,Locations,
,"In comparison to NVS's tool, SI7 is complicated, overpopulated with options (for office needs) and visually overcrowded. ",Usability,,
Facility Manager,It feels a bit busy...a little more white space would make it easier to read and work through.,Usability,,
Vendor Admin,"It is difficult to track work request.  It would be better with without the need for ""like"" or ""%"".",Usability,Admin,
Vendor Admin,it is difficult to use and confusing,Usability,,
Facility Manager,"It is easy to use once you get used to where everything is at.  The overall site appears a bit outdated, but its features have improved since we started using FM Pilot.    ",Usability,,
Vendor Admin,"it is not a user friendly portal. the layout, the buttons at the top, the changing status.  Corrigo is a much easy portal to use. Trying to quote in FM Pilot gives people stress. ",Usability,"Quotes, Attachments",
Facilities Manager,It is not user friendly and very hard to navigate even after using it for a year and a half. It adds a lot of extra work to my day.,Usability,,
Vendor Admin,"IT IS ONE OF THE EASIEST, MOST USER FRIENDLY FORMATS OUT THERE",Usability,"WO, Invoices, Attachments",
Site Manager,it is so cumbersome to add items to a quote.  make this a lot simpler.,Usability,,
Customer Service Rep,It is sometimes very restrictive.  It would be very helpful if we could invoice for the current job and quote for future work separately.  ,Usability,"WO, Quotes",
Vendor Admin,IT IS TOO EASY TO MAKE MISTAKES WITH HOW FINICKY THIS PORTAL IS. ,Usability,Invoices,
Facility Manager,It is too hard to check the status of a work order. The issuer/customer cannot make comments on the work order. ,Usability,,
Vendor Admin,"It make my job more easier to know were to go, when we are confronting problems with anything that needs fixing that needs repair right away for our unit. ",Usability,IVR,
Vendor Admin,It needs to be more user friendly,Usability,Attachments,
Site Manager,"It needs to be more user friendly for users with more than one location. Maybe an option for the calendar to have location added so we can view only WO's for that location, or have the WO numbers showing on the dates without having to click on them to open them. All vendors need to update WO's quicker. ",Usability,,
Operations Manager,It shouldn't take 22 steps to create a work order.,Usability,WO,
Site Manager,It times out to quickly; lately there has been a lot of issues with the IVR and techs can't check in/out.  Overall it isn't user friendly. ,Usability,WO,
Customer Service Rep,"it used to default to my location. if im not paying attention, i have added work orders for other locations in error. ",Usability,,
Vendor Admin,It would be awesome if when creating a work order if it could be completed on one screen.  When I have to create a work order with a quote there are too many steps involved.  It seems that every time that you navigate from one screen to the next you have to wait.,Usability,Invoices,
Vendor Admin,it would be great to get an app for the phone that works as good as the computer version. thanks Myron,Usability,"Quotes, Invoices",
System Administrator,It would be nice if we could get better/easier communication in the portal.,Usability,"assets, PM",Negative
Facility Manager,It would be nice to add comments to work orders without having to know someone's email address. ,Usability,languages,Negative
System Administrator,it's just difficult finding things on the site,Usability,"assets, search",Negative
Facility Manager,"It's not possible to move a quote that includes labor to the invoice screen without rekeying. Would be great to have all of that flow through.  Also have issues with labor rates not being preloaded and when that occurs, we are unable to use the Labor line item in invoicing b/c we can't override the labor rate to fix the issue.   ",Usability,JDE,Negative
Facility Manager,It's very hard to create a proposal and searching for work orders. ,Usability,"portal, WO, search",Negative
Client/Customer,Its as easy as it gets,Usability,Attachments,Negative
Facility Manager,its very easy to use,Usability,"WO, Request",Neutral
Facility Manager,keep the app working better and it is much easier than desktop version,Usability,"WO, printing/pdf",Negative
System Administrator,"less clicks and menues to create a work order,  not default to location that I am not at, send push emails on status and when work orders are complete.  Too time consuming to schedule a work order and follow up on the status of it.",Usability,job plans,Negative
Facility Manager,Less questions,Usability,vendor,Negative
System Administrator,looks like a website from 2002. needs to make updated status more streamlined as well as adding attachments and updating. ,Usability,"Attachments, PO",Negative
Facility Manager,Make a much more user friendly UI. Having sections and bulkier buttons instead of text to click on would be so much more appealing.,Usability,"SIRequest, client",Negative
Facility Manager,"make is easier to put invoices in, be able to log in from the workorder online",Usability,WO,Negative
Client/Customer,Make it easier to attach attachments to a work order/request,Usability,"notification, email",Negative
Technician,make it easier to find where to invoice ...under finance tab is not as easy to remember when not using portal that often ,Usability,WO,Negative
Client/Customer,Make it easier to locate just your station. The widgets are not done well and if I dont know the WEB number it takes a while. I should not have to filter through other stations items. ,Usability,"login, mobile, Desktop, client",Negative
Technician,Make it easier to locate work orders and share visibility between work teams,Usability,WO,Negative
Technician,"Make it easier to search jobs, enter correct completion date and time, space out PM's, and the app isn't very user friendly. ",Usability,"PM, WO, Attachments, Request",Negative
Technician,make it easier to submit quotes like service channel or maximo ,Usability,"mobile, login",Negative
Facility Manager,make it easier to upload items and not have to resave everything ,Usability,"client, WO, navigation",Negative
Facility Coordinator,"Make it facility specific when logging into the app vs the entire division/village's WOs listed.  It's time consuming filtering away the unnecessary details of other facilities work orders to find your own WOs.  Also, do not CLOSE a work order until the entire order is complete, ie. I placed a facility refresh request into the system in 2022 for the 2023 Refresh project and it was closed and nothing has been completed in the WO.",Usability,"PO, vendor, client, mobile",Negative
Customer Service Rep,Make it more intuitive to use,Usability,NTE,Negative
Facility Manager,Make it more user friendly.,Usability,Reporting,Negative
Facility Manager,Make it MUCH easier to use!!!!!!!!!!!!!!!!!!,Usability,"WO, search, locations",Neutral
Technician,Make it user friendly,Usability,"WO, assets",Negative
Technician,make more user friendly,Usability,"WO, assets",Negative
Facility Manager,"Make searching work orders easier, showing current work orders that are open without the need in filtering it to show it.",Usability,iMFM,Negative
Customer Service Rep,Make the reporting features easier to navigate to generate the needed reports,Usability,"Desktop, client",Neutral
System Administrator,"Make the UX more friendly, and clearer.",Usability,,Negative
Facility Manager,Make updating password be a little easier to obtain,Usability,"WO, search",Negative
Facility Manager,Making the symbols for all the different aspects more user friendly - i am not computer savvy so to try and understand some of the symbols and to navigate can be difficult,Usability,"Reporting, locations",Negative
Facility Manager,"Many if you want to contact me directly (todd.lidstone@cbre.com). When using Site History, after looking at one WO you have to re-do the search again every time (not very functional)",Usability,PM,Negative
Technician,Maybe find when payments were made eaiser,Usability,,Negative
Facility Manager,maybe make app usage easier ,Usability,"iMFM, Problem codes",Negative
Facility Manager,MFM  needs a total overhall. ,Usability,competitors,Negative
Client/Customer,"Mobile ServiceInsight needs to be more file and folder hierarchy. Dumping 120 workorders and only being able to navigate by target date, building site, or when the work order was produced is redundant. I use the tool ""building"" to look at all the work orders on that site but wish it would further breakdown to ""Fire LIfe Safety"" tabbing or highlight  in various colors to depict which work order needs attention first or have the ability to make those changes as a user. The limitations of the mobile app are as useful as looking at a click and look webpage. I would love it to be more interactive.",Usability,Problem codes,Negative
Technician,more choices to select from. ,Usability,"login, iMFM",Negative
Client/Customer,More user friendly ,Usability,"Problem codes, client",Negative
Technician,More user friendly ,Usability,"iMFM, mobile",Negative
Technician,"Most of the extended search features don't come in handy.  Would be helpful if we could just search by Store name or Location #.  Currently, we have to know the CBRE client code and whether there are zeros in front of the location # to search.  The WO# search feature is helpful but sometimes we don't have that # so the store name would be helpful. Would be helpful if there were 2 columns of work orders, one showing the default that is visible now and then one for the in progress work orders.",Usability,,Negative
Technician,My clinic doesn't pop up when I first sign in.  I can't search for it.  I have to sign in multiple times before my clinic pops up,Usability,Desktop,Negative
Facility Manager,"Navigation is brutal.  Toggling back a screen is awful and you have to start completely over again.  Ex: Site history - list populates - dive into WO, back out and have to re-enter parameters again, instead of going to the previous screen",Usability,"Request, mobile",Neutral
Facility Coordinator,Need more options that pertain to certain things within the office. Such as issues with the clinic chairs and television problems in the clinic.,Usability,,Negative
Customer Service Rep,Needs a more advanced and integrated search feature/system. This program is convoluted and cumbersome to navigate through. Nothing about the program is anywhere intuitive,Usability,client,Negative
Facility Manager,Needs a UX overhaul badly. This is not intuitive for a general employee NOT involved in facilities.  ,Usability,Request,Negative
Facility Manager,needs more options for like when people reject a quote or want a revised quote and leave it in quote rejected,Usability,"WO, search",Neutral
Technician,"New UI is very slow, especially for SBH",Usability,WO,Negative
Technician,no suggestions.  It is very user friendly.,Usability,"WO, mobile, iMFM",Negative
Facility Manager,"No way for Providers to manage work orders apart from account teams seeing updates, forcing providers to use or invent an alt way to manage work orders.   Many glitches, when submitting quotes,   IVR info not clearing identifiable or editable.  Slow,   To long to pull reports, and reports often are not robust enough.   ",Usability,,Negative
Customer Service Rep,NOT a user-friendly platform. The page is often slow or unavailable. Even moving through the process to submit a quote or proposal is clunky.,Usability,"WO, client, Problem codes",Negative
System Administrator,Not easy to work with,Usability,,Negative
Facility Manager,Not having to refresh so often. ,Usability,"WO, vendor, email",Negative
Facility Manager,Not make the page so busy. Less is more,Usability,"WO, search",Negative
Facility Manager,not that user friendly,Usability,Request,Neutral
Facility Manager,Not user friendly ,Usability,,Negative
Facility Coordinator,"not very easy to visually look at, not very user friendly",Usability,,Neutral
Client/Customer,not very intuitive,Usability,,Negative
Technician,Not very intuitive for picking correct categories,Usability,"Request, email, printing/pdf",Negative
